epoch,grp_spar,ovall_spar,spar_groups,penalty_groups
1.0,0.0027,0.1045,10.0,49.0
2.0,0.0089,0.1092,33.0,75.0
3.0,0.0119,0.116,44.0,98.0
4.0,0.0127,0.1212,47.0,119.0
5.0,0.0075,0.1244,28.0,152.0
6.0,0.0059,0.1266,22.0,178.0
7.0,0.0054,0.1285,20.0,202.0
8.0,0.0073,0.1336,27.0,230.0
9.0,0.0057,0.138,21.0,252.0
10.0,0.0059,0.1391,22.0,273.0
11.0,0.0065,0.1431,24.0,293.0
12.0,0.0048,0.145,18.0,308.0
13.0,0.007,0.1482,26.0,329.0
14.0,0.007,0.1507,26.0,351.0
15.0,0.0089,0.1549,33.0,368.0
16.0,0.0084,0.1586,31.0,390.0
17.0,0.0086,0.1594,32.0,409.0
18.0,0.0081,0.1622,30.0,425.0
19.0,0.0124,0.1669,46.0,446.0
20.0,0.0097,0.167,36.0,456.0
21.0,0.0102,0.1692,38.0,475.0
22.0,0.0124,0.1703,46.0,490.0
23.0,0.0148,0.1738,55.0,507.0
24.0,0.0145,0.1772,54.0,530.0
25.0,0.0159,0.1802,59.0,544.0
26.0,0.0167,0.1822,62.0,560.0
27.0,0.0191,0.1845,71.0,572.0
28.0,0.0156,0.1876,58.0,584.0
29.0,0.0145,0.1872,54.0,597.0
30.0,0.0194,0.1883,72.0,610.0
31.0,0.0226,0.1915,84.0,623.0
32.0,0.0264,0.1951,98.0,630.0
33.0,0.0234,0.1958,87.0,641.0
34.0,0.0245,0.1961,91.0,657.0
35.0,0.0275,0.1993,102.0,667.0
36.0,0.0248,0.1998,92.0,682.0
37.0,0.0275,0.2059,102.0,695.0
38.0,0.0288,0.2071,107.0,716.0
39.0,0.0302,0.2101,112.0,723.0
40.0,0.0315,0.2104,117.0,735.0
41.0,0.0302,0.2129,112.0,749.0
42.0,0.0321,0.2137,119.0,760.0
43.0,0.0291,0.2145,108.0,777.0
44.0,0.0302,0.2173,112.0,790.0
45.0,0.0358,0.2226,133.0,812.0
46.0,0.0326,0.2232,121.0,824.0
47.0,0.0342,0.2235,127.0,830.0
48.0,0.0356,0.2305,132.0,848.0
49.0,0.0385,0.2322,143.0,861.0
50.0,0.0388,0.2308,144.0,868.0
51.0,0.0426,0.2351,158.0,878.0
52.0,0.0436,0.2362,162.0,886.0
53.0,0.0431,0.2391,160.0,889.0
54.0,0.0436,0.2393,162.0,901.0
55.0,0.0436,0.2406,162.0,913.0
56.0,0.042,0.2439,156.0,920.0
57.0,0.042,0.2437,156.0,939.0
58.0,0.0455,0.2484,169.0,946.0
59.0,0.0463,0.2483,172.0,953.0
60.0,0.0474,0.2514,176.0,962.0
61.0,0.0482,0.2529,179.0,967.0
62.0,0.0485,0.2521,180.0,976.0
63.0,0.0485,0.254,180.0,985.0
64.0,0.0509,0.2563,189.0,990.0
65.0,0.0509,0.2567,189.0,1002.0
66.0,0.0574,0.2595,213.0,1010.0
67.0,0.0504,0.2593,187.0,1021.0
68.0,0.0571,0.2626,212.0,1023.0
69.0,0.0622,0.2671,231.0,1030.0
70.0,0.059,0.269,219.0,1040.0
71.0,0.0552,0.2648,205.0,1048.0
72.0,0.0577,0.2644,214.0,1057.0
73.0,0.0566,0.2662,210.0,1058.0
74.0,0.0547,0.2676,203.0,1059.0
75.0,0.059,0.2733,219.0,1065.0
76.0,0.0571,0.2691,212.0,1074.0
77.0,0.0622,0.2727,231.0,1086.0
78.0,0.0563,0.2761,209.0,1097.0
79.0,0.0625,0.2762,232.0,1107.0
80.0,0.0633,0.2762,235.0,1110.0
81.0,0.1261,0.3007,468.0,1110.0
82.0,0.1533,0.3144,569.0,1110.0
83.0,0.1848,0.324,686.0,1110.0
84.0,0.2053,0.3304,762.0,1110.0
85.0,0.2274,0.3341,844.0,1110.0
86.0,0.2403,0.3369,892.0,1110.0
87.0,0.2495,0.3379,926.0,1110.0
88.0,0.2562,0.3388,951.0,1113.0
89.0,0.2584,0.3393,959.0,1120.0
90.0,0.2613,0.3402,970.0,1122.0
91.0,0.2629,0.3406,976.0,1124.0
92.0,0.2637,0.3407,979.0,1125.0
93.0,0.2659,0.3417,987.0,1126.0
94.0,0.2659,0.3419,987.0,1129.0
95.0,0.2654,0.3423,985.0,1135.0
96.0,0.2654,0.3424,985.0,1138.0
97.0,0.2637,0.3432,979.0,1140.0
98.0,0.2619,0.3436,972.0,1146.0
99.0,0.2592,0.3436,962.0,1152.0
100.0,0.2602,0.344,966.0,1161.0
101.0,0.2578,0.3444,957.0,1163.0
102.0,0.253,0.345,939.0,1172.0
103.0,0.253,0.3454,939.0,1173.0
104.0,0.246,0.3455,913.0,1177.0
105.0,0.2433,0.3464,903.0,1181.0
106.0,0.2433,0.3467,903.0,1182.0
107.0,0.2398,0.3472,890.0,1185.0
108.0,0.2293,0.3481,851.0,1191.0
109.0,0.2333,0.3482,866.0,1197.0
110.0,0.2209,0.348,820.0,1198.0
111.0,0.2147,0.3486,797.0,1198.0
112.0,0.2117,0.3484,786.0,1204.0
113.0,0.2099,0.3486,779.0,1205.0
114.0,0.2037,0.3492,756.0,1211.0
115.0,0.1996,0.3494,741.0,1214.0
116.0,0.1972,0.3497,732.0,1216.0
117.0,0.1969,0.3499,731.0,1220.0
118.0,0.1937,0.3499,719.0,1224.0
119.0,0.1915,0.3502,711.0,1226.0
120.0,0.1859,0.3496,690.0,1231.0
121.0,0.2002,0.3515,743.0,1231.0
122.0,0.2117,0.3528,786.0,1231.0
123.0,0.2223,0.3538,825.0,1231.0
124.0,0.2338,0.3544,868.0,1231.0
125.0,0.2408,0.3552,894.0,1231.0
126.0,0.2452,0.3554,910.0,1231.0
127.0,0.2519,0.3557,935.0,1231.0
128.0,0.257,0.356,954.0,1231.0
129.0,0.2613,0.3564,970.0,1231.0
130.0,0.2651,0.3565,984.0,1231.0
131.0,0.268,0.3567,995.0,1231.0
132.0,0.2694,0.3567,1000.0,1231.0
133.0,0.2718,0.357,1009.0,1231.0
134.0,0.274,0.3569,1017.0,1231.0
135.0,0.2734,0.357,1015.0,1232.0
136.0,0.2745,0.3572,1019.0,1232.0
137.0,0.2764,0.3573,1026.0,1232.0
138.0,0.2759,0.3574,1024.0,1232.0
139.0,0.2769,0.3574,1028.0,1232.0
140.0,0.2772,0.3576,1029.0,1232.0
141.0,0.2775,0.3577,1030.0,1232.0
142.0,0.2769,0.3575,1028.0,1232.0
143.0,0.2772,0.3577,1029.0,1232.0
144.0,0.2777,0.358,1031.0,1232.0
145.0,0.2775,0.3579,1030.0,1232.0
146.0,0.2786,0.3581,1034.0,1233.0
147.0,0.2791,0.3582,1036.0,1233.0
148.0,0.2791,0.3583,1036.0,1233.0
149.0,0.2786,0.3582,1034.0,1233.0
150.0,0.2791,0.3582,1036.0,1233.0
151.0,0.2791,0.3582,1036.0,1233.0
152.0,0.2799,0.3585,1039.0,1233.0
153.0,0.2804,0.3585,1041.0,1235.0
154.0,0.2807,0.3586,1042.0,1235.0
155.0,0.2807,0.3589,1042.0,1235.0
156.0,0.2807,0.359,1042.0,1235.0
157.0,0.2807,0.3591,1042.0,1235.0
158.0,0.2804,0.3591,1041.0,1235.0
159.0,0.2804,0.3593,1041.0,1235.0
160.0,0.281,0.3593,1043.0,1235.0
161.0,0.2812,0.3593,1044.0,1236.0
162.0,0.2812,0.3595,1044.0,1236.0
163.0,0.2812,0.3595,1044.0,1236.0
164.0,0.281,0.3594,1043.0,1238.0
165.0,0.2812,0.3595,1044.0,1238.0
166.0,0.2812,0.3594,1044.0,1238.0
167.0,0.2812,0.3596,1044.0,1238.0
168.0,0.2815,0.3596,1045.0,1238.0
169.0,0.2812,0.3596,1044.0,1238.0
170.0,0.2812,0.3597,1044.0,1239.0
171.0,0.2812,0.3597,1044.0,1239.0
172.0,0.2815,0.3598,1045.0,1239.0
173.0,0.2815,0.3597,1045.0,1239.0
174.0,0.2815,0.3598,1045.0,1239.0
175.0,0.2818,0.3599,1046.0,1239.0
176.0,0.2815,0.3598,1045.0,1239.0
177.0,0.2818,0.3599,1046.0,1239.0
178.0,0.2821,0.36,1047.0,1239.0
179.0,0.2812,0.3599,1044.0,1239.0
180.0,0.2815,0.36,1045.0,1239.0
181.0,0.2818,0.3601,1046.0,1239.0
182.0,0.2815,0.3602,1045.0,1239.0
183.0,0.2812,0.3602,1044.0,1239.0
184.0,0.2812,0.3601,1044.0,1239.0
185.0,0.2818,0.3605,1046.0,1239.0
186.0,0.2818,0.3605,1046.0,1239.0
187.0,0.2821,0.3604,1047.0,1239.0
188.0,0.2818,0.3604,1046.0,1239.0
189.0,0.2823,0.3605,1048.0,1240.0
190.0,0.2818,0.3605,1046.0,1240.0
191.0,0.2826,0.3606,1049.0,1240.0
192.0,0.2818,0.3607,1046.0,1240.0
193.0,0.2821,0.3608,1047.0,1240.0
194.0,0.2823,0.3609,1048.0,1241.0
195.0,0.2829,0.3606,1050.0,1241.0
196.0,0.2826,0.3607,1049.0,1242.0
197.0,0.2826,0.3607,1049.0,1242.0
198.0,0.2829,0.3607,1050.0,1242.0
